Source,Target
ptsd133,ptsd1
ptsd121,ptsd2
ptsd102,ptsd2
ptsd203,ptsd3
ptsd87,ptsd3
ptsd8,ptsd4
ptsd26,ptsd4
ptsd70,ptsd5
ptsd74,ptsd5
ptsd144,ptsd5
ptsd8,ptsd6
ptsd60,ptsd6
ptsd76,ptsd7
ptsd203,ptsd8
ptsd209,ptsd8
ptsd183,ptsd9
ptsd166,ptsd9
ptsd30,ptsd10
ptsd185,ptsd10
ptsd93,ptsd11
ptsd11,ptsd12
ptsd36,ptsd12
ptsd69,ptsd13
ptsd40,ptsd14
ptsd111,ptsd15
ptsd205,ptsd16
ptsd67,ptsd17
ptsd16,ptsd18
ptsd7,ptsd18
ptsd90,ptsd19
ptsd29,ptsd19
ptsd83,ptsd20
ptsd41,ptsd20
ptsd47,ptsd20
ptsd54,ptsd21
ptsd81,ptsd21
ptsd55,ptsd22
ptsd41,ptsd22
ptsd12,ptsd23
ptsd132,ptsd23
ptsd90,ptsd24
ptsd146,ptsd24
ptsd196,ptsd24
ptsd48,ptsd24
ptsd206,ptsd25
ptsd80,ptsd26
ptsd142,ptsd26
ptsd7,ptsd27
ptsd195,ptsd27
ptsd201,ptsd28
ptsd30,ptsd29
ptsd92,ptsd29
ptsd14,ptsd30
ptsd75,ptsd30
ptsd90,ptsd31
ptsd160,ptsd31
ptsd205,ptsd32
ptsd37,ptsd32
ptsd27,ptsd32
ptsd37,ptsd33
ptsd8,ptsd33
ptsd91,ptsd34
ptsd107,ptsd34
ptsd195,ptsd35
ptsd45,ptsd36
ptsd24,ptsd36
ptsd57,ptsd37
ptsd182,ptsd38
ptsd34,ptsd39
ptsd211,ptsd39
ptsd188,ptsd40
ptsd110,ptsd40
ptsd95,ptsd41
ptsd111,ptsd42
ptsd27,ptsd42
ptsd132,ptsd42
ptsd118,ptsd43
ptsd135,ptsd43
ptsd205,ptsd44
ptsd131,ptsd44
ptsd27,ptsd45
ptsd21,ptsd46
ptsd17,ptsd46
ptsd152,ptsd46
ptsd6,ptsd47
ptsd136,ptsd47
ptsd24,ptsd48
ptsd37,ptsd48
ptsd100,ptsd48
ptsd48,ptsd49
ptsd195,ptsd49
ptsd111,ptsd50
ptsd192,ptsd50
ptsd47,ptsd51
ptsd140,ptsd51
ptsd56,ptsd52
ptsd37,ptsd53
ptsd180,ptsd53
ptsd66,ptsd53
ptsd21,ptsd54
ptsd169,ptsd54
ptsd10,ptsd54
ptsd165,ptsd55
ptsd4,ptsd55
ptsd172,ptsd56
ptsd72,ptsd56
ptsd179,ptsd57
ptsd56,ptsd57
ptsd79,ptsd58
ptsd142,ptsd58
ptsd68,ptsd59
ptsd132,ptsd60
ptsd147,ptsd60
ptsd104,ptsd61
ptsd63,ptsd62
ptsd62,ptsd63
ptsd21,ptsd63
ptsd30,ptsd64
ptsd106,ptsd64
ptsd47,ptsd65
ptsd149,ptsd65
ptsd75,ptsd65
ptsd102,ptsd66
ptsd91,ptsd66
ptsd105,ptsd67
ptsd104,ptsd67
ptsd9,ptsd67
ptsd156,ptsd68
ptsd31,ptsd69
ptsd111,ptsd70
ptsd166,ptsd70
ptsd168,ptsd70
ptsd82,ptsd71
ptsd136,ptsd71
ptsd155,ptsd72
ptsd19,ptsd73
ptsd104,ptsd73
ptsd104,ptsd74
ptsd209,ptsd74
ptsd88,ptsd75
ptsd172,ptsd76
ptsd111,ptsd76
ptsd39,ptsd77
ptsd51,ptsd77
ptsd65,ptsd78
ptsd87,ptsd78
ptsd139,ptsd79
ptsd155,ptsd79
ptsd8,ptsd79
ptsd74,ptsd80
ptsd209,ptsd80
ptsd101,ptsd81
ptsd102,ptsd81
ptsd9,ptsd82
ptsd16,ptsd82
ptsd93,ptsd83
ptsd154,ptsd83
ptsd33,ptsd84
ptsd200,ptsd84
ptsd206,ptsd84
ptsd157,ptsd85
ptsd150,ptsd86
ptsd117,ptsd86
ptsd127,ptsd87
ptsd189,ptsd87
ptsd104,ptsd87
ptsd87,ptsd88
ptsd126,ptsd89
ptsd111,ptsd89
ptsd93,ptsd90
ptsd19,ptsd90
ptsd99,ptsd91
ptsd119,ptsd91
ptsd143,ptsd92
ptsd105,ptsd93
ptsd11,ptsd93
ptsd109,ptsd94
ptsd175,ptsd94
ptsd181,ptsd95
ptsd70,ptsd95
ptsd91,ptsd96
ptsd59,ptsd96
ptsd165,ptsd97
ptsd141,ptsd99
ptsd91,ptsd99
ptsd210,ptsd100
ptsd102,ptsd101
ptsd121,ptsd101
ptsd103,ptsd101
ptsd101,ptsd102
ptsd116,ptsd102
ptsd86,ptsd103
ptsd211,ptsd104
ptsd61,ptsd104
ptsd206,ptsd105
ptsd37,ptsd105
ptsd53,ptsd105
ptsd81,ptsd106
ptsd14,ptsd106
ptsd75,ptsd107
ptsd37,ptsd107
ptsd113,ptsd108
ptsd104,ptsd109
ptsd124,ptsd109
ptsd186,ptsd110
ptsd82,ptsd110
ptsd203,ptsd110
ptsd107,ptsd111
ptsd21,ptsd112
ptsd188,ptsd113
ptsd121,ptsd114
ptsd84,ptsd115
ptsd107,ptsd115
ptsd2,ptsd116
ptsd123,ptsd116
ptsd141,ptsd117
ptsd36,ptsd117
ptsd76,ptsd118
ptsd43,ptsd118
ptsd69,ptsd118
ptsd87,ptsd119
ptsd101,ptsd120
ptsd54,ptsd121
ptsd91,ptsd121
ptsd112,ptsd122
ptsd45,ptsd122
ptsd98,ptsd122
ptsd86,ptsd123
ptsd109,ptsd123
ptsd49,ptsd123
ptsd109,ptsd124
ptsd74,ptsd124
ptsd60,ptsd125
ptsd127,ptsd125
ptsd68,ptsd126
ptsd40,ptsd126
ptsd125,ptsd127
ptsd104,ptsd127
ptsd17,ptsd128
ptsd200,ptsd128
ptsd3,ptsd129
ptsd134,ptsd130
ptsd92,ptsd130
ptsd168,ptsd131
ptsd13,ptsd132
ptsd133,ptsd132
ptsd95,ptsd132
ptsd153,ptsd133
ptsd196,ptsd133
ptsd133,ptsd134
ptsd148,ptsd134
ptsd153,ptsd135
ptsd119,ptsd135
ptsd14,ptsd136
ptsd8,ptsd136
ptsd194,ptsd137
ptsd139,ptsd138
ptsd144,ptsd138
ptsd138,ptsd139
ptsd173,ptsd139
ptsd191,ptsd140
ptsd136,ptsd141
ptsd79,ptsd141
ptsd182,ptsd142
ptsd102,ptsd142
ptsd211,ptsd143
ptsd200,ptsd143
ptsd145,ptsd144
ptsd88,ptsd144
ptsd144,ptsd145
ptsd17,ptsd145
ptsd182,ptsd146
ptsd163,ptsd146
ptsd22,ptsd147
ptsd103,ptsd147
ptsd177,ptsd148
ptsd181,ptsd149
ptsd129,ptsd149
ptsd35,ptsd149
ptsd23,ptsd150
ptsd82,ptsd150
ptsd112,ptsd151
ptsd41,ptsd151
ptsd7,ptsd151
ptsd56,ptsd151
ptsd157,ptsd152
ptsd195,ptsd152
ptsd98,ptsd153
ptsd148,ptsd153
ptsd133,ptsd154
ptsd174,ptsd155
ptsd166,ptsd155
ptsd96,ptsd156
ptsd44,ptsd156
ptsd7,ptsd157
ptsd49,ptsd158
ptsd41,ptsd159
ptsd12,ptsd160
ptsd4,ptsd160
ptsd32,ptsd161
ptsd20,ptsd162
ptsd77,ptsd162
ptsd5,ptsd163
ptsd45,ptsd163
ptsd177,ptsd164
ptsd208,ptsd164
ptsd178,ptsd165
ptsd106,ptsd165
ptsd87,ptsd166
ptsd144,ptsd166
ptsd178,ptsd167
ptsd9,ptsd167
ptsd114,ptsd168
ptsd35,ptsd169
ptsd199,ptsd170
ptsd173,ptsd170
ptsd128,ptsd171
ptsd116,ptsd172
ptsd26,ptsd173
ptsd167,ptsd174
ptsd211,ptsd174
ptsd4,ptsd174
ptsd202,ptsd175
ptsd172,ptsd175
ptsd178,ptsd175
ptsd180,ptsd175
ptsd181,ptsd176
ptsd174,ptsd176
ptsd164,ptsd177
ptsd208,ptsd177
ptsd89,ptsd178
ptsd179,ptsd178
ptsd4,ptsd178
ptsd150,ptsd179
ptsd211,ptsd179
ptsd179,ptsd180
ptsd12,ptsd180
ptsd126,ptsd180
ptsd3,ptsd181
ptsd183,ptsd181
ptsd73,ptsd182
ptsd132,ptsd182
ptsd182,ptsd183
ptsd202,ptsd185
ptsd203,ptsd185
ptsd188,ptsd186
ptsd140,ptsd187
ptsd211,ptsd187
ptsd159,ptsd187
ptsd204,ptsd188
ptsd166,ptsd188
ptsd182,ptsd189
ptsd161,ptsd189
ptsd66,ptsd189
ptsd78,ptsd190
ptsd161,ptsd190
ptsd42,ptsd191
ptsd178,ptsd191
ptsd179,ptsd192
ptsd78,ptsd192
ptsd186,ptsd193
ptsd111,ptsd193
ptsd117,ptsd194
ptsd202,ptsd195
ptsd175,ptsd195
ptsd156,ptsd196
ptsd51,ptsd196
ptsd198,ptsd197
ptsd49,ptsd197
ptsd197,ptsd198
ptsd134,ptsd198
ptsd43,ptsd199
ptsd187,ptsd200
ptsd88,ptsd201
ptsd175,ptsd202
ptsd174,ptsd202
ptsd211,ptsd202
ptsd131,ptsd203
ptsd37,ptsd204
ptsd170,ptsd204
ptsd51,ptsd205
ptsd93,ptsd206
ptsd164,ptsd207
ptsd66,ptsd207
ptsd91,ptsd208
ptsd67,ptsd208
ptsd208,ptsd209
ptsd174,ptsd209
ptsd71,ptsd209
ptsd100,ptsd210
ptsd8,ptsd210
ptsd104,ptsd211
ptsd120,ptsd211
ptsd7,ptsd211
